,ROI,SystemTime,Timestamp,Pos,Left,Right
183,1,63722466960977,1377062,"(-0.3, 1.2, 10.0)",1,1
184,1,63722466960999,1377087,"(-0.3, 1.2, 10.0)",1,1
185,1,63722466961021,1377103,"(-0.3, 1.2, 10.0)",1,1
186,1,63722466961044,1377128,"(-0.3, 1.1, 10.0)",1,1
187,1,63722466961066,1377153,"(-0.3, 1.1, 10.0)",1,1
188,1,63722466961088,1377178,"(-0.3, 1.1, 10.0)",1,1
189,1,63722466961110,1377195,"(-0.3, 1.1, 10.0)",1,1
190,1,63722466961146,1377237,"(-0.3, 1.1, 10.0)",1,1
191,1,63722466961167,1377253,"(-0.3, 1.1, 10.0)",1,1
192,1,63722466961187,1377270,"(-0.3, 1.2, 10.0)",1,1
193,1,63722466961208,1377295,"(-0.3, 1.2, 10.0)",1,1
194,1,63722466961227,1377312,"(-0.3, 1.1, 10.0)",1,1
195,1,63722466961245,1377328,"(-0.3, 1.2, 10.0)",1,1
196,1,63722466961263,1377353,"(-0.3, 1.2, 10.0)",1,1
197,1,63722466961281,1377370,"(-0.2, 1.2, 10.0)",1,1
198,1,63722466961299,1377387,"(-0.2, 1.2, 10.0)",1,1
199,1,63722466961316,1377403,"(-0.2, 1.2, 10.0)",1,1
200,1,63722466961337,1377428,"(-0.3, 1.2, 10.0)",1,1
201,1,63722466961353,1377437,"(-0.3, 1.2, 10.0)",1,1
202,1,63722466961372,1377453,"(-0.3, 1.2, 10.0)",1,1
203,1,63722466961390,1377478,"(-0.3, 1.2, 10.0)",1,1
204,1,63722466961408,1377495,"(0.5, 0.9, 10.0)",1,1
205,1,63722466961427,1377512,"(1.6, 0.8, 10.0)",1,1
206,1,63722466961444,1377528,"(2.0, 0.6, 10.0)",1,1
207,1,63722466961463,1377553,"(1.8, 0.8, 10.0)",1,1
208,1,63722466961482,1377570,"(1.7, 0.8, 10.0)",1,1
209,1,63722466961500,1377586,"(1.7, 0.7, 10.0)",1,1
210,1,63722466961517,1377603,"(1.7, 0.7, 10.0)",1,1
211,1,63722466961537,1377620,"(1.8, 0.7, 10.0)",1,1
212,1,63722466961555,1377645,"(1.8, 0.7, 10.0)",1,1
213,1,63722466961573,1377661,"(1.8, 0.7, 10.0)",1,1
214,1,63722466961591,1377678,"(1.8, 0.7, 10.0)",1,1
215,1,63722466961610,1377695,"(1.6, 0.8, 10.0)",1,1
216,1,63722466961629,1377711,"(0.7, 1.1, 10.0)",1,1
217,1,63722466961647,1377736,"(-0.9, 1.2, 10.0)",1,1
218,1,63722466961665,1377753,"(-0.8, 1.1, 10.0)",1,1
219,1,63722466961683,1377770,"(-0.7, 1.2, 10.0)",1,1
220,1,63722466961702,1377786,"(-0.7, 1.2, 10.0)",1,1
221,1,63722466961721,1377811,"(-0.7, 1.2, 10.0)",1,1
222,1,63722466961744,1377828,"(-0.7, 1.2, 10.0)",1,1
223,1,63722466961766,1377853,"(-0.7, 1.1, 10.0)",1,1
224,1,63722466961789,1377878,"(-0.7, 1.1, 10.0)",1,1
225,1,63722466961810,1377895,"(-0.7, 1.1, 10.0)",1,1
226,1,63722466961836,1377920,"(-0.7, 1.1, 10.0)",1,1
227,1,63722466961856,1377945,"(-0.7, 1.1, 10.0)",1,1
228,1,63722466961877,1377961,"(-0.7, 1.1, 10.0)",1,1
229,1,63722466961899,1377986,"(-0.7, 1.2, 10.0)",1,1
230,1,63722466961921,1378011,"(-0.7, 1.1, 10.0)",1,1
231,1,63722466961944,1378028,"(-0.7, 1.1, 10.0)",1,1
232,1,63722466961966,1378053,"(-0.7, 1.2, 10.0)",1,1
233,1,63722466961988,1378078,"(-0.7, 1.2, 10.0)",1,1
234,1,63722466962010,1378095,"(-0.7, 1.2, 10.0)",1,1
235,1,63722466962033,1378120,"(-0.7, 1.1, 10.0)",1,1
236,1,63722466962054,1378136,"(-0.7, 1.1, 10.0)",1,1
237,1,63722466962077,1378161,"(-0.7, 1.1, 10.0)",1,1
238,1,63722466962099,1378186,"(-0.7, 1.2, 10.0)",1,1
239,1,63722466962121,1378211,"(-0.6, 1.2, 10.0)",1,1
240,1,63722466962145,1378228,"(-0.6, 1.2, 10.0)",1,1
241,1,63722466962165,1378253,"(-0.6, 1.2, 10.0)",1,1
242,1,63722466962184,1378270,"(-0.6, 1.2, 10.0)",1,1
243,1,63722466962202,1378286,"(-0.6, 1.2, 10.0)",1,1
244,1,63722466962221,1378303,"(-0.5, 1.2, 10.0)",1,1
245,1,63722466962244,1378328,"(-0.3, 1.3, 10.0)",1,1
246,1,63722466962268,1378353,"(-0.2, 1.3, 10.0)",1,1
247,1,63722466962287,1378378,"(-0.3, 1.3, 10.0)",1,1
248,1,63722466962304,1378386,"(-0.3, 1.3, 10.0)",1,1
249,1,63722466962323,1378411,"(-0.3, 1.3, 10.0)",1,1
250,1,63722466962341,1378428,"(-0.3, 1.2, 10.0)",1,1
251,1,63722466962360,1378445,"(-0.3, 1.2, 10.0)",1,1
252,1,63722466962385,1378470,"(-0.3, 1.2, 10.0)",1,1
253,1,63722466962405,1378486,"(-0.3, 1.2, 10.0)",1,1
254,1,63722466962426,1378511,"(-0.3, 1.2, 10.0)",1,1
255,1,63722466962445,1378528,"(-0.3, 1.2, 10.0)",1,1
256,1,63722466962464,1378553,"(-0.3, 1.2, 10.0)",1,1
257,1,63722466962483,1378570,"(-0.3, 1.2, 10.0)",1,1
258,1,63722466962503,1378586,"(-0.3, 1.2, 10.0)",1,1
259,1,63722466962520,1378603,"(-0.3, 1.2, 10.0)",1,1
260,1,63722466962539,1378628,"(-0.3, 1.2, 10.0)",1,1
261,1,63722466962557,1378645,"(-0.3, 1.2, 10.0)",1,1
