,centroidsX,centroidsY,centroidsZ,time0,time1,Duration
95,0.20000000000000004,0.8000000000000002,-3.600000000000001,63726718851380.0,63726718851788.0,408.0
96,-0.19999999999999998,0.9000000000000001,-3.5,63726718851847.0,63726718852111.0,264.0
97,-0.5,0.9000000000000001,-3.5,63726718852169.0,63726718852374.0,205.0
98,-0.01,0.99,-3.6000000000000005,63726718852462.0,63726718852726.0,264.0
99,-0.10000000000000002,1.0050000000000001,-3.525,63726718852755.0,63726718853311.0,556.0
100,0.0,1.0,-3.6000000000000005,63726718853398.0,63726718853603.0,205.0
101,-0.18749999999999997,1.0,-3.5,63726718853661.0,63726718853866.0,205.0
102,-0.39999999999999997,0.9000000000000001,-3.5,63726718853925.0,63726718854131.0,206.0
103,-0.09999999999999999,0.76,-3.5800000000000005,63726718854189.0,63726718854452.0,263.0
104,-0.19999999999999998,0.6,-3.5,63726718854481.0,63726718854627.0,146.0
105,-0.19999999999999998,0.9625,-3.5,63726718854715.0,63726718854921.0,206.0
106,0.10000000000000003,1.0,-3.6000000000000005,63726718854979.0,63726718855474.0,495.0
107,0.09999999999999999,0.9000000000000001,-3.6000000000000005,63726718855532.0,63726718855710.0,178.0
108,0.19999999999999998,0.7999999999999999,-3.6000000000000005,63726718855739.0,63726718856004.0,265.0
109,-0.10000000000000002,0.9800000000000001,-3.5,63726718856094.0,63726718856502.0,408.0
110,-0.09999999999999999,0.6749999999999999,-3.5,63726718856561.0,63726718856764.0,203.0
111,0.0,0.5999999999999999,-3.600000000000001,63726718856794.0,63726718857204.0,410.0
112,0.08571428571428572,0.8857142857142859,-3.6000000000000005,63726718857233.0,63726718857415.0,182.0
113,0.0,1.0999999999999999,-3.6,63726718857531.0,63726718857677.0,146.0
114,-0.2916666666666666,1.0,-3.5,63726718857706.0,63726718858032.0,326.0
115,-0.39999999999999997,0.8333333333333334,-3.5,63726718858090.0,63726718858234.0,144.0
116,-0.29285714285714276,0.5999999999999999,-3.5,63726718858381.0,63726718858761.0,380.0
117,-0.09999999999999999,0.9714285714285714,-3.5428571428571436,63726718858821.0,63726718858998.0,177.0
118,-0.1,1.0,-3.5800000000000005,63726718859028.0,63726718859144.0,116.0
119,-0.10000000000000003,0.9499999999999996,-3.5416666666666665,63726718859173.0,63726718859848.0,675.0
120,0.09999999999999999,0.9000000000000002,-3.600000000000001,63726718859877.0,63726718860210.0,333.0
121,-0.09999999999999999,0.9333333333333335,-3.5,63726718860270.0,63726718860422.0,152.0
122,-0.28888888888888886,1.0,-3.5,63726718860452.0,63726718860699.0,247.0
123,0.1111111111111111,0.8444444444444446,-3.6000000000000005,63726718860730.0,63726718860971.0,241.0
124,-0.09999999999999999,0.7090909090909092,-3.5909090909090917,63726718861029.0,63726718861321.0,292.0
125,-0.19999999999999998,0.811111111111111,-3.5,63726718861350.0,63726718861584.0,234.0
126,0.10714285714285716,0.9000000000000002,-3.600000000000001,63726718861643.0,63726718862030.0,387.0
127,-0.19999999999999998,0.7999999999999999,-3.5,63726718862089.0,63726718862383.0,294.0
128,0.19999999999999998,0.9000000000000001,-3.6000000000000005,63726718862441.0,63726718862678.0,237.0
129,-0.1,0.9,-3.5200000000000005,63726718862744.0,63726718862873.0,129.0
130,0.0,0.5,-3.6,63726718862934.0,63726718863127.0,193.0
131,0.0,0.9000000000000002,-3.600000000000001,63726718863160.0,63726718863647.0,487.0
132,0.10000000000000002,0.8066666666666668,-3.600000000000001,63726718863706.0,63726718864118.0,412.0
133,-0.29499999999999993,0.86,-3.5,63726718864206.0,63726718864763.0,557.0
134,0.09999999999999999,0.9000000000000002,-3.600000000000001,63726718864823.0,63726718865118.0,295.0
135,-0.19999999999999998,0.7916666666666666,-3.5,63726718865147.0,63726718865471.0,324.0
